statcod;jrsttcd;statnam;naam;dac_cod;dac_id
GM0613;2020GM0613;Albrandswaard;Rotterdam-Rijnmond;RR;17
GM0614;2020GM0614;Westvoorne;Rotterdam-Rijnmond;RR;17
GM0622;2020GM0622;Vlaardingen;Rotterdam-Rijnmond;RR;17
GM1621;2020GM1621;Lansingerland;Rotterdam-Rijnmond;RR;17
GM1924;2020GM1924;Goeree-Overflakkee;Rotterdam-Rijnmond;RR;17
GM0755;2020GM0755;Boekel;Brabant-Noord;BN;21
GM0756;2020GM0756;Boxmeer;Brabant-Noord;BN;21
GM0757;2020GM0757;Boxtel;Brabant-Noord;BN;21
GM0786;2020GM0786;Grave;Brabant-Noord;BN;21
GM0788;2020GM0788;Haaren;Brabant-Noord;BN;21
